NazwaStanowiska,Miejscowość,Firma,PLN,Doświadczenie,RodzajUmowy,RodzajKontraktu,TrybPracy,DataPobrania
Senior Business Analyst,"Wrocław, Śródmieście",PPG Global Business Services Poland Sp. z o.o.,-,"Kierownik / Koordynator, Menedżer",Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Senior Business Analyst,9 lokalizacji,Sollers Consulting,-,Starszy specjalista (Senior),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca hybrydowa,20.05.2024
Ekspert ds. zarządzania ryzykiem modeli,"Warszawa, Włochy",ALIOR BANK,-,"Starszy specjalista (Senior), Ekspert",Pełny etat,Umowa o pracę,Praca hybrydowa,20.05.2024
Specjalista / Specjalistka ds. Inżynierii Danych i Digitalizacji,Sady (pow. poznański),The Lorenz Bahlsen Snack-World Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Analityk Biznesowy IT,"Łódź, Polesie",DOZ S.A.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca stacjonarna,20.05.2024
IT Analyst (KYC/AML),Warszawa,Scalo Sp. z o.o.,100–130 zł netto (+ VAT) / godz.,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
Młodszy Analityk - Consulting,"Warszawa, Mokotów",Incube CPM Sp. z o.o.,-,Młodszy specjalista (Junior),Pełny etat,"Umowa o pracę, Umowa zlecenie, Kontrakt B2B",Szukamy wielu kandydatów,20.05.2024
IT Business Analyst Operations,Szczecin,The Customization Group,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Analityk systemowo-biznesowy (nieruchomości),"Warszawa, Żoliborz",Pivotal Polska Sp. z o.o.,-,Starszy specjalista (Senior),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz,20.05.2024
Business Analyst,"Warszawa, Ochota",BlueSoft Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
System Analyst,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Katowice,Scalo Sp. z o.o.,120–140 zł netto (+ VAT) / godz.,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
RPA Business Analyst,"Kraków, Podgórze",Amer Sports Global Business Services,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Analityk Baz Danych i Informacji Zarządczej,"Łódź, Widzew",Citi Handlowy,-,Specjalista (Mid / Regular),Pełny etat,Umowa na zastępstwo,Praca hybrydowa,20.05.2024
Starsza Analityczka / Starszy Analityk w Zespole Raportowania i Analiz Biznesowych,"Warszawa, Wola",VeloBank S.A.,-,Starszy specjalista (Senior),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Business Analyst - Technology Development,"Kraków, Podgórze Duchackie",AMS,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa,20.05.2024
Analityk Biznesowy,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Ochota",Edge One Solutions Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Analityk biznesowo-systemowy,"Warszawa, Ochota",Edge One Solutions Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Senior Business Analyst,"Kraków, Dębniki",HSBC Service Delivery (Polska) Sp. z o.o.,-,Starszy specjalista (Senior),Pełny etat,Umowa o pracę,Запрошуємо працівників з України,20.05.2024
IT Business Analyst,Warszawa,Anex Tour Poland,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
ERP / EDI Business Analyst,Gliwice,Moltton,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca stacjonarna,20.05.2024
Analityk Biznesowy i Techniczny Kierownik Produktu AI / Analityczka Biznesowa i Techniczna Kierowniczka Produktu AI,"Warszawa, Ochota",Centralny Ośrodek Informatyki,14 000–18 000 zł brutto / mies.,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Analityk biznesowo-systemowy,"Warszawa, Mokotów",Nexio Management Sp. z o.o.,-,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,"Umowa o pracę, Umowa zlecenie, Kontrakt B2B",Szukamy wielu kandydatów (2 wakaty),20.05.2024
Analityk Biznesowy,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,Connectis_,22 000–24 000 zł netto (+ VAT) / mies.,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca zdalna,20.05.2024
Business Analyst (SAP SD + EDI),Warszawa,ITFS sp. z o.o.,110–140 zł netto (+ VAT) / godz.,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
Business Applications Developer,Pietrzykowice (pow. wrocławski; gm. Kąty Wrocławskie),Aircom Automotive,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca stacjonarna,20.05.2024
Analityk/czka Biznesowo-Systemowy/a,"Gdańsk, Oliwa",Wakacje.pl,-,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,"Umowa o pracę, Kontrakt B2B",Szukamy wielu kandydatów (2 wakaty),20.05.2024
Analityk Biznesowy EOD (Elektronicznego Obiegu Dokumentów),"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Włochy",DahliaMatic,7 000–12 000 zł / mies. (zal. od umowy),Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Umowa zlecenie, Kontrakt B2B",Praca od zaraz,20.05.2024
Analityk Systemowy,"Wrocław, Psie Pole",Kaczmarski Inkasso sp.j,-,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz,20.05.2024
Business System Analyst,Katowice,E NET PRODUCTION,12 000–19 000 zł / mies. (zal. od umowy),"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,"Umowa o pracę, Kontrakt B2B","Praca zdalna, Praca hybrydowa",20.05.2024
Business Analyst - One Portal Team,"Warszawa, Mokotów",T-Mobile,-,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca zdalna,20.05.2024
Senior Business Analyst – Business Intelligence,"Łódź, Bałuty",Hitachi Energy Poland Sp. z o.o.,-,Starszy specjalista (Senior),Pełny etat,Umowa o pracę,Praca stacjonarna,20.05.2024
Specjalista / Specjalistka ds. Projektów Wdrożeniowych SQL,"Warszawa, Śródmieście",MOREBIT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Analityk Biznesowo-Systemowy,"Warszawa, Wola",VanityStyle Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca hybrydowa,20.05.2024
The JDE Project Manager,Wrocław,UPVANTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,-,Menedżer,Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca hybrydowa,20.05.2024
Analityk biznesowy,"Warszawa, Śródmieście",ITHOUSE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,90–110 zł netto (+ VAT) / godz.,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
Analityk Systemowo-Biznesowy - Departament Aplikacji Detalicznych,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:2 lokalizacje,ING Bank Śląski S.A.,10 000–20 000 zł brutto / mies.,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,"Praca zdalna, Praca hybrydowa",20.05.2024
Junior Business Analyst,Gliwice,Sirocco,-,Młodszy specjalista (Junior),Pełny etat,"Umowa o pracę, Umowa zlecenie, Kontrakt B2B",Praca od zaraz,20.05.2024
Digital Business Analyst,"Kraków, Dębniki",HSBC Service Delivery (Polska) Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Запрошуємо працівників з України,20.05.2024
Analityk IT,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,emagine sp. z o.o.,110–130 zł netto (+ VAT) / godz.,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
Analityk Systemowy,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Gdynia, Mały Kack",BEST S.A.,-,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca zdalna,20.05.2024
Analityk Systemowy - CRM,"Warszawa, Bielany",Grupa Inter Cars,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Business Analyst - Commerce,"Kraków, Czyżyny",HEINEKEN Global Shared Services,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Запрошуємо працівників з України,20.05.2024
System - Business Analyst,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Katowice,Scalo Sp. z o.o.,140 zł netto (+ VAT) / godz.,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
Specjalista Analityk Danych,Piaseczno,Auchan,-,"Specjalista (Mid / Regular), Młodszy specjalista (Junior)",Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Analityk Biznesowo - Systemowy,4 lokalizacje,Asseco Poland S.A.,-,"Specjalista (Mid / Regular), Młodszy specjalista (Junior)",Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Analityk IT,"Warszawa, Praga-Południe",EXATEL,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Analityk Biznesowy,"Warszawa, Śródmieście",VOLKSWAGEN FINANCIAL SERVICES POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Data Analyst & Business Integration,"Warszawa, Śródmieście",Philip Morris Polska Distribution Spółka z o.o.,-,"Specjalista (Mid / Regular), Młodszy specjalista (Junior)",Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (2 wakaty),20.05.2024
Analityk Biznesowo - Systemowy (ERP),Warszawa,7N Sp. z o.o.,21 840–25 200 zł netto (+ VAT) / mies.,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
Analityk Systemowy w Zespole Utrzymania Aplikacji,2 lokalizacje,Bank Millennium S.A.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
NazwaStanowiska,Miejscowość,Firma,PLN,Doświadczenie,RodzajUmowy,RodzajKontraktu,TrybPracy,DataPobrania
MS Dynamics AX/D365FO Developer,Gdańsk,NIGEL FRANK INTERNATIONAL,5 000–25 000 zł brutto / mies.,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Umowa o pracę,Запрошуємо працівників з України,20.05.2024
Digital & Automation Delivery Manager (Developer),"Warszawa, Śródmieście",HSBC Service Delivery (Polska) Sp. z o.o.,-,Kierownik / Koordynator,Pełny etat,Umowa o pracę,Запрошуємо працівників з України,20.05.2024
Digital & Automation Delivery Manager (Developer),"Warszawa, Śródmieście",HSBC Service Delivery (Polska) Sp. z o.o.,-,Kierownik / Koordynator,Pełny etat,Umowa o pracę,Запрошуємо працівників з України,20.05.2024
Automation Services Manager,"Kraków, Dębniki",HSBC Service Delivery (Polska) Sp. z o.o.,-,Kierownik / Koordynator,Pełny etat,Umowa o pracę,Запрошуємо працівників з України,20.05.2024
Xceptor / Appian Developer,Warszawa,DCG Sp. z o.o.,17 600–20 000 zł netto (+ VAT) / mies.,"Specjalista (Mid / Regular), Młodszy specjalista (Junior)",Pełny etat,Kontrakt B2B,Praca hybrydowa,20.05.2024
RPA Developer,"Warszawa, Wola",FLOBOTICS sp. z o.o.,50–75 zł / godz. (zal. od umowy),Młodszy specjalista (Junior),Pełny etat,"Umowa zlecenie, Kontrakt B2B",Praca od zaraz,20.05.2024
RPA Developer,"Warszawa, Włochy",VELUX Polska Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa,20.05.2024
RPA Developer,3 lokalizacje,ONWELO Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca hybrydowa,20.05.2024
Automation |RPA| Developer - Blue Prism,"Gdańsk, Oliwa",Capgemini Polska,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa,20.05.2024
Automation RPA Developer - UiPath / Blue Prism,"Wrocław, Fabryczna",Capgemini Polska,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa,20.05.2024
RPA Junior Developer,"Warszawa, Śródmieście",AUTOMA SERVICES sp. z o.o.,4 500–8 300 zł / mies. (zal. od umowy),Młodszy specjalista (Junior),"Pełny etat, Część etatu","Umowa o pracę, Umowa zlecenie, Kontrakt B2B",Praca hybrydowa,20.05.2024
Programista RPA,Łódź,Grafton Recruitment,12 200–14 200 zł brutto / mies.,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
NazwaStanowiska,Miejscowość,Firma,PLN,Doświadczenie,RodzajUmowy,RodzajKontraktu,TrybPracy,DataPobrania
Starszy Specjalista ds. Systemów OSS,"Warszawa, Śródmieście",PGE Systemy S.A.,-,Starszy specjalista (Senior),Pełny etat,Umowa o pracę,Praca hybrydowa,20.05.2024
Specjalista / Specjalistka ds. Inżynierii Danych i Digitalizacji,Sady (pow. poznański),The Lorenz Bahlsen Snack-World Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Principal / Lead QA Engineer,"Kraków, Podgórze",J-LABS sp. z o.o.,-,Kierownik / Koordynator,Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
QA Engineer,Gliwice,MARCH NETWORKS POLAND sp. z o.o.,7 500–15 000 zł / mies. (zal. od umowy),Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca hybrydowa,20.05.2024
Platfrom Automation Tester,"Kraków, Prądnik Czerwony",HCL Poland,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca zdalna,20.05.2024
Senior Manual QA Tester,"Kraków, Podgórze",LiveKid Sp. z o.o.,10 000–15 000 zł netto (+ VAT) / mies.,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
IT Software Specialist,Warszawa,Michael Page,-,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca hybrydowa,20.05.2024
QA Engineer,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Ochota",Edge One Solutions Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Test automation Engineer (Robot Framework),Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,SKILLS MATTER,-,Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,"Praca zdalna, Praca hybrydowa",20.05.2024
Senior Test Automation Engineer,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,Leroy Merlin Polska Sp. z o.o.,-,Starszy specjalista (Senior),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca zdalna,20.05.2024
Tricentis Tosca Test Engineer (Salesforce) (All Genders),"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Wrocław, Stare Miasto",Schaeffler Global Services Europe Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,"Praca stacjonarna, Praca zdalna, Praca hybrydowa",20.05.2024
Test Automation Lead - Product Factory&Digital Processes Tribe,"Warszawa, Mokotów",T-Mobile,-,"Starszy specjalista (Senior), Ekspert",Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
Programme Test Manager,Poznań,VML Enterprise Solutions,20 000–25 000 zł netto (+ VAT) / mies.,"Kierownik / Koordynator, Menedżer",Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
Tester Oprogramowania,Katowice,Kamsoft S.A.,-,Młodszy specjalista (Junior),Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (2 wakaty),20.05.2024
Tester WMS,Warszawa,Grupa Inter Cars,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Tester SQL,"Warszawa, Włochy",Polska Grupa Lotnicza,-,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Kontrakt B2B,Praca zdalna,20.05.2024
Specjalista ds. Automatyzacji Procesów (Webcon/PowerPlatform)​,Warszawa,Medicover,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Tester manualny,Warszawa,Polska Grupa Lotnicza,-,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Kontrakt B2B,Praca zdalna,20.05.2024
Senior QA Engineer with automation,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,BinaryCortex LLC,12 000–17 500 zł netto (+ VAT) / mies.,Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
QA Engineer,"Warszawa, Wola",eService Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,"Praca stacjonarna, Praca hybrydowa",20.05.2024
Test Analyst Salesforce (Test Factory) (All Genders),"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Wrocław, Stare Miasto",Schaeffler Global Services Europe Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,"Praca stacjonarna, Praca zdalna, Praca hybrydowa",20.05.2024
Backend Developer (All Genders),"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Wrocław, Stare Miasto",Schaeffler Global Services Europe Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,"Praca stacjonarna, Praca zdalna, Praca hybrydowa",20.05.2024
Automation Tester (Performance Tests),"Łódź, Bałuty",Commerzbank AG,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa,20.05.2024
Manual Tester,Łódź,Scalo Sp. z o.o.,90 zł netto (+ VAT) / godz.,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca hybrydowa,20.05.2024
IoT SmartThings Labs Automation Tester,"Warszawa, Wola",Samsung R&D Institute Poland,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa,20.05.2024
Projektant Elektronik - Technolog Testu,"Warszawa, Praga-Południe",PIT-RADWAR S.A.,-,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Umowa o pracę,Praca stacjonarna,20.05.2024
Tester automatyzujący - Selenide,"Poznań, Stare Miasto",DomData AG Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Automation Tester,Warszawa,ITDS Polska Sp. z o.o.,14 700–18 900 zł / mies. (zal. od umowy),Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz,20.05.2024
Kierownik Zespołu ds. Infrastruktury i Utrzymania Usług IT,Nowy Sącz,FAKRO,-,Kierownik / Koordynator,Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz,20.05.2024
Senior IT Software Specialist,"Warszawa, Śródmieście",CPI Poland Sp. z o.o.,-,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz,20.05.2024
Tester Automatyzujący,Kraków,Scalo Sp. z o.o.,100–140 zł netto (+ VAT) / godz.,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca hybrydowa,20.05.2024
Praktykant/Praktykantka do Zespołu Automatyzacji Testów,"Warszawa, Wola",AXA IT Solutions,30 zł brutto / godz.,Praktykant / Stażysta,"Pełny etat, Część etatu",Umowa zlecenie,"Praca stacjonarna, Praca hybrydowa",20.05.2024
Tester Automatyzujący,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Kraków,Scalo Sp. z o.o.,100–130 zł netto (+ VAT) / godz.,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
System Automation Test Engineer,"Wrocław, Stare Miasto",ALTEN Polska,-,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz,20.05.2024
IT Automation Tester,"Warszawa, Wola",ALTEN Polska,-,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz,20.05.2024
Tester oprogramowania,Szczecin,SB SOFTWARE sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Szukamy wielu kandydatów,20.05.2024
Specjalista_ka ds. Automatyzacji Procesów Finansowych,"Warszawa, Śródmieście",Generali,-,"Specjalista (Mid / Regular), Młodszy specjalista (Junior)",Pełny etat,Umowa o pracę,Praca hybrydowa,20.05.2024
Test Automation Engineer (Jmeter),3 lokalizacje,ONWELO Sp. z o.o.,90–110 zł netto (+ VAT) / godz.,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Kontrakt B2B,Praca hybrydowa,20.05.2024
Tester Automatyzujący (SWIFT Repo),Katowice,DomData AG Sp. z o.o.,-,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Umowa o pracę,Szukamy wielu kandydatów,20.05.2024
Tester Automatyzujący (MT-Sorbnet),Katowice,DomData AG Sp. z o.o.,-,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Umowa o pracę,Szukamy wielu kandydatów,20.05.2024
Tester Automatyzujący (aplikacja mobilna),Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,7N Sp. z o.o.,20 160–23 520 zł netto (+ VAT) / mies.,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
5G Test Engineer - Telecoms Software,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Kraków, Dębniki",Tronel Sp. z o.o.,7 000–15 600 zł / mies. (zal. od umowy),Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz,20.05.2024
Tester Oprogramowania / QA Engineer,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Włochy",INEOGROUP S.A.,-,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz,20.05.2024
Senior IT Automation Tester,Warszawa,emagine sp. z o.o.,170 zł netto (+ VAT) / godz.,Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
Senior Automation Tester with Tax experience,Warszawa,1dea Kośnik Sp. k.,95–110 zł netto (+ VAT) / godz.,Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
Senior Automation Tester/QA (C#/JavaScript/PowerShell),Katowice,Scalo Sp. z o.o.,100–140 zł netto (+ VAT) / godz.,Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
Senior Test Automation Engineer,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Wrocław,Nokia,-,Starszy specjalista (Senior),Pełny etat,Umowa o pracę,Запрошуємо працівників з України,20.05.2024
QA Automation Testing,Kraków,HCL Poland,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa,20.05.2024
Software Engineer,Katowice,Diebold Nixdorf,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca stacjonarna,20.05.2024
Software Quality Engineer,Katowice,Diebold Nixdorf,-,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca stacjonarna,20.05.2024
